الاسم اللاتيني	رقم التسلسل	العلامة المسمارية
šeb₄	567	𒋞
šed	314	𒋃
šed₁₂	103v	𒈹
šed₁₃	102	𒈽
šed₁₄	024	𒆂
šed₁₅	025b	𒅝
šed₁₆	567	𒋞
šed₁₇?	015	
šed₃	063d	𒉫
šed₄	063c	𒆑
šed₅	354b	𒆒
sed₆	103v	𒈹
šed₆	536	𒆪
sed₇	102	𒈽
sedi₆	103v	𒈹
sedi₇	102	𒈽
šedu	322	𒆗
šedu₃	582	𒀆
šedur	508	𒇤
seg	592	𒋝
šeg	592	
seg₁₀	164	𒋧
šeg₁₀	024	𒆂
šeg₁₁	025b	𒅝
šeg₁₂	567	𒋞
šeg₁₃?	015	
seg₁₄	551v	𒊾
seg₁₅	322	𒆗
seg₁₆	143	𒃶
seg₁₇	085	𒄀
seg₁₈	538	𒆥
seg₂	539	𒋠
seg₃	295	𒉺
seg₄	567	𒋞
seg₅	454	𒅆𒂟
šeg₅	039	𒍋
seg₆	356	𒊷
šeg₆	172	𒉈
seg₇	351	𒅊
šeg₇	399	𒅎
seg₈	092c	𒃰𒋺𒄑
šeg₈	551	𒋙𒉀
seg₉	112	𒋛
šeg₉	551v	𒊾
šega₉	551v	𒊾
šegbar?	551v	
segga	551v	𒊾
šegga	551v	𒊾
šeh	053	𒋚
ṣeh	053	𒋚
seh₂	313	𒆤
ṣeh₂	172	𒉈
sek	592	𒋝
šek	592	𒋝
šek₂	539	𒋠
sel	012	𒋻
šel	012	𒋻
šel₄	554	𒊩
sem	215	𒋆
šem	215	𒋆
sem₃	424	
šem₃	424	𒀚
šem₄	426	𒀙
sem₅	423	
šem₅	423	𒀘
šembi	219x	𒋍
šembi₂	215	𒋆
šembi₃	214a	𒁌
šembizi	215	𒋆
šembizid	215	𒋆
šembulug₃	220	𒋌
šembulug₄	217	𒋈
šembulug₅	218	𒋉
šemešal	222	𒋑
šemmišla	222	𒋑
šemmug	218	𒋉
šemšala	222	𒋑
šen	008	𒊿
šen₂	132	𒍏
šen₃	079	𒉆
šen₄	138	𒁾
šen₆	212	𒅖
šenbar?	551v	
šendilima	110	𒆯
šeneg	093	
sep	532	𒈨
šep	532	𒈨
ṣep	395	
šeq₂	539	𒋠
ser	373	𒋤
šer	071	𒋓
ṣer	374	𒈲
šer₁₀	374	𒈲
ser₂	371	𒁍
šer₂	371	𒁍
šer₄	171	𒍜
šer₇	325	𒉪
šerah	374	𒈲
šerba	494	𒇇
šeri	071	
šerid	126	𒋳
šerim	126	𒋳
šerim₂	491	𒇡
šerimsur	492	𒇜
šerinsur	492	𒇜
šeru	171	𒍜
ses	331	𒋀
šes	331	𒋀
šeš	331	𒋀
šeṣ	331	𒋀
šeš₂	544	𒋁
šeš₃	581	𒀅
šeš₄	541	𒂞
šešlam	065	𒋂
šeššed	063d	𒉫
šet	314	𒋃
si	112	𒋛
ši	449	𒅆
ṣi	147	𒍢
si₁₁	592	𒋝
si₁₂	351	𒅊
si₁₃	079	𒉆
si₁₄	309	𒂁
si₁₇	449	𒅆
si₁₈?	025b	
si₁₉	028	𒆉
si₂	084	𒍣
ši₂	112	𒋛
ṣi₂	084	𒍣
si₂₀	147	𒍢
si₂₁	322	𒆗
si₂₂	085	𒄀
si₂₃	429	𒄢
si₂₉	295	𒉺
si₃	164	𒋧
ši₃	592	𒋝
ṣi₃	112	𒋛
si₃₀	375	
si₄	113	𒋜
si₅	455	𒅆𒂠
ši₅	536	𒆪
si₆	537	𒇻
ši₆	215	𒋆
ši₇	351	𒅊
si₈	457	𒁲
sib	532	𒈨
šib	532	𒈨
ṣib	395	𒍦
šib₀	472	𒌍
sib₂	295m	𒉺𒇻
šib₂	068	𒊒
ṣib₂	190	𒍨
sib₃	395	𒍦
šib₃	295k	𒉺𒅁
šib₄	395	𒍦
siba	295m	𒉺𒇻
sibad	295m	𒉺𒇻
ṣibi	395	𒍦
sibir₂	054v	𒂙
šibir₂?	054v	
šid	314	𒋃
sid₂	314	𒋃
šid₂?	063a	
šid₃	063d	𒉫
šidi	440	𒁶
šidim	440	𒁶
sidug	489	𒇂
sidug₂	499n	𒇄
siduga₂	499n	𒇄
sidugga	489	𒇂
sidugga₂	499n	𒇄
sig	592	𒋝
šig	592	𒋝
sig₁₀	164	𒋧
sig₁₄	551v	𒊾
sig₁₅	322	𒆗
sig₁₆	143	𒃶
sig₁₇	085	𒄀
sig₁₈	538	𒆥
sig₂	539	𒋠
sig₃	295	𒉺
sig₄	567	𒋞
sig₅	454	𒅆𒂟
šig₅	039	𒍋
sig₆	356	𒊷
sig₇	351	𒅊
sig₈	092c	𒃰𒋺𒄑
sig₉	112	𒋛
siga	592	𒋝
siga₁₈	538	𒆥
sigga	551v	𒊾
sigga₂	295	𒉺
sih	053	𒋚
ših	053	𒋚
sih₂	313	𒆤
ših₂	313	𒆤
sih₄	102	𒈽
sih₅	569	𒄗
sik	592	𒋝
šik	592	𒋝
sik₁₀	164	𒋧
sik₂	539	𒋠
šik₂	539	𒋠
šika	055	𒆷
šikahara	568	𒋟
siki	539	𒋠
siki₂	381	𒌓
sikil	564	𒂖
šikin	597	𒃻
šikin₂	309	𒂁
šikira₃	042	𒌼
sil	012	𒋻
šil	012	𒋻
ṣil	087	𒉣
sil₂	087	𒉣
ṣil₂	427	𒈪
sil₃	062	𒋡
šil₃	411	𒌋
sil₄	427	𒈪
šil₄	377	
sil₆	158	𒂢
sil₇	159	𒂣
sil₈	071	𒋓
sil₉	160	𒂤
sila	012	𒋻
sila₁₁	314	𒋃
sila₃	062	𒋡
sila₄	252	𒃢
silag	314	𒋃
silaku	252	𒃢
silal	158	𒂢
silig	044	𒍂
šilig	044	𒍂
silig₅	041	𒍎
šilig₅	041	𒍎
silig₆	024	𒆂
šilig₆	024	𒆂
silim	457	𒁲
silim₂	322	𒆗
silima	457	𒁲
silima₂	322	𒆗
sim	079	𒉆 / 𒋆
šim	215	𒋆
ṣim	555	𒍮
sim₂	164	𒋧
šim₂	079	𒉆
sim₃	457	𒁲
sim₄?	483	
sim₅?	555	
šimbi	219x	𒋍
šimbi₂	215	𒋆
šimbi₃	214a	𒁌
šimbizi	215	𒋆
šimbulug₂?	216	
šimbulug₃	220	𒋌
šimbulug₄	217	𒋈
šimbulug₅	218	𒋉
simed	001	𒀸
šimešal	222	𒋑
šimeššal	222	𒋑
simig	138	𒁾
šimmešla	222	𒋑
šimmug	218	𒋉
simug	338	𒌣
sin	472	𒌍
šin	008	𒊿
ṣin	472	𒌍
sin₂	079	𒉆
šin₂?	570	
šina	570	𒈫
šindilib	110	𒆯
šindilimma	110	𒆯
šinig	093	𒋒
sip	532	𒈨
šip	532	𒈨
ṣip	395	𒍦
šip₀	472	𒌍
sip₂	295m	𒉺𒇻
sip₃	395	𒍦
šip₃	295k	𒉺𒅁
sip₄	295k	𒉺𒅁
sipa	295m	𒉺𒇻
sipa₂	295k	𒉺𒅁
sipad	295m	𒉺𒇻
siq	592	𒋝
šiq	592	𒋝
šiq₂	539	𒋠
šiq₄	024	𒆂
siqqa	295	
sir	373	𒋤
šir	071	𒋓
ṣir	374	𒈲
šir₁₀	374	𒈲
sir₂	371	𒁍
šir₂	371	𒁍
sir₄	071	𒋓
šir₄	171	𒍜
sir₅?	075	
šir₅?	075	
šir₆	144	𒌉
šir₈	373	𒋤
širam	171	𒍜
sirara	200v	𒀏
sirara₅	195	𒀕
siraran	200v	𒀏
siraš	215	𒋆
siraš₂	224	𒋇
siraš₃	225	𒋋
širi₄	171	
širim	171	𒍜
siris	215	𒋆
siriš	215	𒋆
siris₂	224	𒋇
siris₃	225	𒋋
siris₄	214	𒁉
sirsir	371a	𒁎
siru	071	𒋓
širu	171	𒍜
sirum	071	𒋓
širum	171	𒍜
sis	331	𒋀
siš	331	𒋀
šiš	331	𒋀
šiṣ	331	𒋀
ṣiṣ	069	𒁁
šiš₂	544	𒋁
siskur	438	𒀬
siškur	438	𒀬
šit	314	𒋃
šiṭ	314	𒋃
sit₂	314	𒋃
šita₃	083	𒋥
šita₄	442	𒌋𒆤
šita₅	314	𒋃
šitan	083	
šiti	314	𒋃
šitim	440	𒁶
šitim₂	314	𒋃
šiz	331	𒋀
šizbu	319	𒂵
sizkur	438	𒀬
šu	354	𒋗
ṣu	555	𒍮
su₁₀	102	𒈽
šu₁₀	061	𒈬
su₁₁	015	𒅗
su₁₂	164	𒋧
šu₁₂	026	𒆃
su₁₃	371	𒁍
šu₁₃	214	𒁉
su₁₄	555	𒍮
šu₁₄	126	𒋳
su₁₅	214	𒁉
šu₁₅?	555	
su₁₆	011	𒁔
šu₁₆	447	𒌋𒌓
su₁₇	467	𒂄
su₁₈	595	𒂅
su₂	006	𒍪
ṣu₂	006	𒍪
su₂₀	215	𒋆
su₃	373	𒋤
su₄	113	𒋜
šu₄	411	𒌋
su₅	536	𒆪
šu₅	520	𒇟
su₆	018x	𒅾
šu₆	521	𒇠
su₇	460v	𒇭
šu₇?	597	
su₈	206a	𒁻
sub	025	𒅢
šub	068	𒊒
sub₂	206a	𒁻
sub₃	107n	𒄛
šub₃	295k	𒉺𒅁
sub₄	033	𒅡
šub₄	543	𒈰
sub₅	543	𒈰
šub₅	066b	𒍤𒂠 / 𒍤𒆸
sub₆	126	𒋳
šub₆	314	𒋃
sub₇	068	𒊒
suba₄?	103v	
šuba₄?	103v	
šuba₅	068	𒊒
subar	053	𒋚
šubar	053	𒋚
subi₄	103v	
subir	053	𒋚
šubtu₃	166e	𒆜𒆸
šubtum₃	166e	𒆜𒆸
subu	126	𒋳
šubul	013	𒀭
subur	053	𒋚
šubur	053	𒋚
subur₂	321	𒈛
šubur₂?	050	
šubura	053	𒋚
sud	373	𒋤
šud	373	𒋤
sud₂	083	𒋥
šud₂	371	𒁍
šud₃	026	𒆃
sud₄	371	𒁍
šud₄	314	𒋃
šude₃?	026	
šudu₃	026	𒆃
šudul	545	𒋙
šudul₂	459	𒌋𒌆
šudul₄	348	𒂈 / 𒌪
šudul₅	575b	𒌪
šudul₆	442	𒌋𒆤
šudulu	545	𒋙
šudum	314	𒋃
šudun	545	𒋙
šudun₂	459	𒌋𒌆
šudun₄	348	𒂈
šudun₅	575b	𒌪
sug	522	𒆹
šug	469	𒉻
sug₂	206a	𒁻
sug₄	373	𒋤
sug₅	595	𒂅
sug₇	016	𒅲
sug₈	460v	𒇭
sugal₇	321	𒈛
sugin	069	𒁁
šugur	151	𒈗
suh	102	𒈽
šuh	102	𒈽
suh₁₀	103v	𒈹
šuh₂	053	𒋚
suh₂?	403	
suh₃	569	𒄗
suh₄	313	𒆤
suh₅	536	𒆪
suh₆	201	𒁼
suh₇	061	𒈬
suhirim	460n	𒇮
suhirin	460n	𒇮
suhub	547	𒋙𒀯
šuhub	547	𒋙𒀭 / 𒋙𒀯
suhul	547	𒋙𒀭 / 𒋙𒀯
suhur	403	𒋦
suhuš	201	𒁼
šuhuš	201	𒁼
šuhuš₂	204n	
suk	522	𒆹
šuk	469	𒉻
šuk₂	003	𒈮
suk₃	049x	𒍇
šuk₃	522	𒆹
sukal	321	𒈛
šukal	321	𒈛
sukkal	321	𒈛
šukkal	321	𒈛
šuku	469	𒉻
suku₅	102	𒈽
suku₆	103v	𒈹
sukud₂	102	𒈽
sukud₃	103v	𒈹
šukun₃	469	𒉻
šukur₂	469	𒉻
sukuš	103v	𒈹
sul	467	𒂄
šul	467	𒂄
sul₂	231	𒉌
sul₃	018x	𒅾
šul₃	457	𒁲
sul₄	460v	𒇭
sulgar	547	𒋙𒀭 / 𒋙𒀯
sullat₂	295	𒉺
šullat₂	295	𒉺
sullim	054v	𒂙
sulu	012	𒋻
sulug	355	𒈜
suluhu₃	066a	𒍤𒀀 / 𒍤𒆸
sulumhi₃	066a	𒍤𒀀 / 𒍤𒆸
sulun	355	
sum	164	𒋧
šum	126	𒋳
ṣum	555	𒍮
sum₂	555	𒍮
šum₂	164	𒋧
šum₃	061	𒈬
sum₄	018x	𒅾
sum₅	395	𒍦
šum₅	011	𒁔
sum₆	126	𒋳
sumaš	182	𒋨
sumu	164	𒋧
šumu	061	𒈬
šumu₂	164	𒋧
šumu₃	126	𒋳
sumug	138	𒁾 / 𒌝
sumug₃	135a	𒌡
sumugan	444	𒀲 / 𒄊
sumugga	444	𒄊
sumukan	444	𒄊
sumun₂	429	𒄢
sumuna₂	429	𒄢
sumunu₂	429	𒄢
sumuqan	444	𒄊
sumur	329	𒊨
sumur₂	403	𒋦
sumur₃	543	𒈰
šun	008	𒊿
sun₂	429	𒄢
sun₃	164	𒋧
šun₃	429	𒄢
sun₄	018x	𒅾
šun₄	164	𒋧
sun₅	011	𒁔
sun₆	008	𒊿
sun₇	322	𒆗
suna₂	429	𒄢
sungin	069	𒁁
šup	068	𒊒
šup₂	001	𒀸
sup₂?	206a	
šup₃	295k	𒉺𒅁
suq	522	𒆹
šuq	469	𒉻
sur	101	𒋩
šur	101	𒋩
ṣur	437	𒀫
sur₁₁	536	𒆪
sur₁₂	460v	𒇭
sur₁₄	115	𒊕
sur₂	329	𒊨
šur₂	329	𒊨
ṣur₂	374	𒈲
šur₃	071	𒋓
sur₄	390	𒊯
sur₅	481	𒇲
sur₈	491	𒇡
sur₉	122d	𒋪
sura	101	𒋩
sura₁₂	460v	𒇭
sura₉	122d	𒋪
suri	207	𒌈
šurim	494	𒇇
šurim₃	493	𒇆
šurin₄?	286	
šurin₅	290	𒁬
surru	122d	𒋪
ṣurṣub	309	𒂁
ṣurṣub₂	322	𒆗
šuru	494	𒇇
ṣuru	437	𒀫
šuru₂	485	𒇣
šuru₃	493	𒇆
suru₅	481	𒇲
šuru₆	063d	𒋺
šurum	494	𒇇
šurum₃	493	𒇆
šurum₆	063d	𒋺
šurum₇	177	
šurun	494	𒇇
šurun₂	485	𒇣
šurun₃	493	𒇆
šurun₄	286	𒁨
šurun₅?	290	
sus	102	𒈽
suš	536	𒆪
šuš	411	𒌋
sus₂	103v	𒈹
suš₂	231	𒉌
suš₃	371	𒁍
šuš₃	212	𒅖
šuš₄	126	𒋳
šuš₅	520	𒇟
šuš₆	521	𒇠
šušana	571	𒑚
šušana₂	471	𒌋𒌋
šušanaku	471	𒌋𒌋
šušbar	300	𒀨
sušbu	102	𒈽
šusbu	102	𒈽
susbu₂	102	𒈽
susbu₄	103v	𒈹
šušgim	297	𒄞
šušmaš	300	𒀨
šušu	083	𒋥
susu?	083	
šušudi	026	𒆃
šušur	325a	𒀼
šušur₂	365	𒀽
šušurum	177n	
šut	373	𒋤
šuṭ	373	𒋤
sutu	074	𒁇 / 𒑏
šutug	469	𒉻
šutul	545	𒋙
šutul₂	459	𒌋𒌆
šutul₄	348	𒂈
šutul₅	575b	𒌪
šutul₆	442	𒌋𒆤
šutum₃	314	
šutun₄	348	𒂈
šutun₅	575b	𒌪
šutur	057	𒈤
suz	102	𒈽
šuz	373	𒋤
suz₂	103v	𒈹
suzbu₂	102	𒈽
šuzi	575	𒌨
ta	139	𒋫
ṭa	335	𒁕
ta₂	335	𒁕
ṭa₂	139	𒋫
ta₃	126	𒋳
ṭa₃	396	𒄭
ta₄	557	𒁮
ṭa₄	557	𒁮
ta₅	381	𒌓
ta₆	063d	𒋺
ta₇	383	𒉿
ta₈	396	𒄭
ta₉	574	
tab	124	𒋰
ṭab	124	𒋰
tab₂	010	𒄉
ṭab₃	537	𒁳
ṭab₆	396	𒄭
taba	124	𒋰
tad	063d	𒋺
tag	126	𒋳
tag₄	063d	𒋺
taga	126	𒋳
tah	169	𒈭
ṭah	169	𒈭
tah₃	061	𒈬
taha	169	𒈭
tahta	089	
tahtu	089	
tak	126	𒋳
tak₄	063d	𒋺
taka	126	𒋳
taka₄	063d	𒋺
tal	086	𒊑
ṭal	086	𒊑
tal₂	383	𒉿
tal₃	001	𒀸
tal₄	480	𒁹
tala	086	𒊑
tala₂	383	𒉿
tam	381	𒌓
ṭam	557	𒁮
tam₂	557	𒁮
ṭam₂	381	𒌓
tam₃	094	𒁴
tam₄	207	𒌈
tam₆	440	𒁶
tama	381	
tan	322	𒆗
ṭan	322	𒆗
tan₂	270	𒃞
tan₃	241	𒃩
tan₄	248	𒃋
tan₆	211n	𒍕
tan₇	259n	𒃃
tan₈	575	𒌨
tana	322	𒆗 / 𒋿
tap	124	𒋰
ṭap	124	𒋰
ṭap₃	537	𒁳
tapa	124	𒋰
taq	126	𒋳
tar	012	𒋻
ṭar	012	𒋻
tar₂	113	𒁯
ṭar₂	113	𒁯
tar₅	085	𒄀
tara	012	𒋻
tara₄	540	
tarah₂	540	
targul	122a	𒈣𒈮
tari	111	𒄥
tarim	513	
taru	111	𒄥
taru₅	085	𒄀
tas	575	𒌨
taš	575	𒌨
taṣ	575	𒌨
ṭaš	575	𒌨
taš₂	480	𒁹
taš₃	339	𒀾
taša	575	𒌨
taskarin	536	𒌆
taškarin	536	𒌆
tat	063d	𒋺
ṭat	063d	𒋺
taz	575	𒌨
te	376	𒋼
ṭe	457	𒁲
te₁₀	457	𒁲
te₃	165	𒉀
ṭe₃	172	𒉈
te₄	172	𒉈
ṭe₄	376	𒋼
te₅	536	𒌆
te₆	314	𒋃
te₈	334	𒀉
teb	537	𒁳
ṭeb	537	𒁳
teg₃	376	𒋼
teh₂	134	𒌝
tehe	138	𒁾
tehe₃	433	𒉏
tehi	138	𒁾
tehi₂	134	𒌝
tehi₃	433	𒉏
tek	106	𒄘
ṭel	069	
tem	094	𒁴
ṭem	094	𒁴
ṭem₂	440	𒁶
teme	165	𒉀
temen	376	𒋼
ten	376	𒋼
ṭen	465	
ten₂	465	𒁷
ten₃	347	𒂇
tep	537	𒁳
ṭep	537	𒁳
ter	375	𒌁
ṭer	123	𒋛𒀀
ter₂	012	𒋻
ter₄	123	𒋛𒀀
ṭer₅	375	𒌁
teš	001	𒀸
tes₂	575	𒌨
teš₂	575	𒌨
tešbi	318	𒌑
tešub	399	𒅎
ṭi	457	𒁲
ti₃	094	𒁴
ti₄	457	𒁲
ṭi₄	376	𒋼
ti₅	069	𒁁
ṭi₅	172	𒉈
ti₇	376	𒋼
ti₈	334	𒀉
ti₉	172	𒉈
tib	537	𒁳
ṭib	537	𒁳
tibir	126	𒋳
tibira₂	023	𒅪
tid?	399	
tig₃	352	𒂀
tik	106	𒄘
tik₂	231	𒉌
ṭil	001	𒀸
til₂	459a	𒇯
ṭil₂	069	𒁁
til₄	001	𒀸
til₅	480	𒁹
til₇	383	𒉿
til₈	072a	𒆰
tile	069	𒁁
tilhar	242	𒂿
tim	094	𒁴
ṭim	094	𒁴
tim₂	207	𒌈
ṭim₂	440	𒁶
tim₃	465	𒁷
tin	465	𒁷
ṭin?	465	
tin₃	347	𒂇
tinur	510	𒇌
tinur₃	528	𒇅
tinuru	510	𒇌
tip	537	𒁳
ṭip	537	𒁳
tiq	106	𒄘
tiq₂	231	𒉌
tir	375	𒌁
ṭir	123	𒋛𒀀
tir₂	012	𒋻
ṭir₂	012	𒋻
tir₃	113	𒁯
ṭir₃	101	𒋩
tir₄	123	𒋛𒀀
ṭir₄	113	𒁯
tir₅	439	𒉼
ṭir₅	375	𒌁
tiš	480	𒁹
ṭiš	480	𒁹
tis₂	575	𒌨
tiš₂	575	𒌨
tiṣ₂	575	𒌨
tiškarin	536	𒌆
tiškarini	536	𒌆
tišpak	102	𒈽
tiz	480	𒁹
tiz₂	575	𒌨
tu	058	𒌅
ṭu	595	𒂅
tu₁₀	089	𒄽
tu₁₁	088	𒄸
tu₁₂	574	𒌇
tu₁₃	515	𒇧
tu₁₄	314	𒋃
tu₁₅	399	𒅎
tu₁₆?	352	
tu₁₈	595	𒂅
tu₁₉?	144	
tu₂	381	𒌓
ṭu₂	058	𒌅
tu₂₀	230	𒆕
tu₂₁	459a	𒇯
tu₂₂	165	𒉀
tu₂₃	165b	𒉂
tu₂₅	434	𒉐
tu₃	206	𒁺
ṭu₃	206	𒁺
tu₄	207	𒌈
ṭu₄	207	𒌈
tu₆	016	𒅲
ṭu₆	016	
tu₈	433	𒉏
tu₉	536	𒌆
tub	138	𒁾
ṭub	138	𒁾
tub₂	352	𒂀
ṭub₂	352	𒂀
tuba	532	𒈨
tuba₃	314	𒋃
tuba₄	536	
tubašin	110	𒆯
tud	058	𒌅
tug	574	𒌇
tug₂	536	𒌆
tug₃	309	𒂁
tug₄	515	𒇧
tug₈	595	𒂅
tugul	561	𒉄𒍞
tugure	019	𒅤
tuh	167	𒃮
tuh₂	169	𒈭
tuh₃	061	𒈬
tuhul	561	𒉄𒍞
tuk	574	𒌇
tuk₂	536	𒌆
tuk₃	309	𒂁
tuk₄	515	𒇧
tuku	574	𒌇
tuku₂	536	𒌆
tuku₄	515	𒇧
tuku₅	126	𒋳
tuku₆	483	𒆸
tukul	536	𒆪
tukula	536	𒆪
tukur	483	𒆸
tukur₂	027	𒆁
tukur₃	024x	𒆈
tul	459	𒌋𒌆
ṭul	511	𒇥
tul₂	511	𒇥
ṭul₃	459a	𒇯
tul₄	144	𒌉
ṭul₄	575b	
tul₅	459a	𒇯
tul₆	348	𒂈
tul₇	575b	𒌪
tul₈	486	𒇀
tum	207	𒌈
ṭum	207	𒌈
tum₁₀	557	𒁮
tum₁₁	434a	𒉑
tum₁₂	058	𒌅
tum₁₃	209	𒂕
tum₂	206	𒁺
tum₃	434	𒉐
tum₄	433	𒉏
tum₅?	536	
tum₈	094	𒁴
tum₉	399	𒅎
tuma?	536	
tuma₂	206	𒁺
tumga	355	
tumu	399	𒅎
tumu₂	206	𒁺
tumu₃	434	𒉐
tumu₄	433	𒉏
tun	089	𒄽
tun₂	088	𒄸
tun₃	595	𒂅
tun₄	467	𒂄
tuna₃	595	𒂅
tunur	510	𒇌
tup	138	𒁾
ṭup	138	𒁾
tup₂	352	𒂀
tuq	574	𒌇
tuq₃	309	𒂁
tur	144	𒌉
ṭur	108	𒄙
tur₂	108	𒄙
tur₃	087a	𒉣𒇬
ṭur₃	144	𒌉
tur₅	058	𒌅
tur₆	483	𒆸
tur₈?	371	
tura	144	𒌉
turu	144	𒌉
ṭuru	108	
tuš	536	𒆪
ṭuš	536	𒆪
tušu	536	𒆪
u	411	𒌋
uʾ	397	𒀪
uʾ₂?	398	
uʾ₃	493	𒇆
uʾ₄	392	𒌔
u₁₀	540	𒁱
u₁₁	078	𒄷
u₁₃	398	𒄴
u₁₄?	443	
u₁₆	134	𒌝
u₁₇	383	𒉿
u₁₈	049x	𒍇
u₁₉	038	𒌷
u₂	318	𒌑
u₂₀	367	𒊺
u₂₁	130	𒊌
u₂₂	052	𒌗
u₂₄	231	
u₃	455	𒅇
u₄	381	𒌓
u₈	494	𒇇
ua	494	𒇆 / 𒇇
ua₂	540	𒁱
ua₄	293	𒁦
ub	306	𒌒
ub₃	424	𒀚
ub₄	511	𒇥
ub₆	426	𒀙
ub₇	423	
uba	306	𒌒
ubda	306	𒌒
ubi₂	403	𒋦
ubisag	314	𒋃
ubisag₂	317	𒋄
ubišaga	125a	
ubu	360	𒀹
ubu₂	306	𒌒
ubudil	185	𒉞
ubudili	185	𒉞
ubur₂	292a	𒁥
ubur₃	288b	𒁡
ubur₄	288c	𒁢
ud	381	𒌓
ud₂	339	𒀾
ud₅	122b	𒍚
ud₆	443	𒌋𒂵
uda₅	122b	𒍚
udda	519	𒇐
udeššu	339	𒀾
udilia	470	𒌋𒐊
udinim	155	𒂫
udnim	155	𒂫
udu	537	𒇻
udub	495	𒇛
udul₃	293	𒁦
udul₅	289	𒁟
udul₆	287	𒁭
udul₈	415	𒌋𒈬
udun	415	𒌋𒈬
ug	130	𒊌
ug₂	444	𒊊
ug₄	381	𒌓
uga₃	165	𒌦
ugab	403	𒋦
ugra	499v	𒇨
ugri	499v	𒇨
ugu	412	𒌋𒅗
ugu₄	536	𒆪
ugu₅	329	𒊨
ugu₆	015	
ugu₇	176	
ugudil	185	𒉞
ugudili	185	𒉞
ugula	295	𒉺
ugulu	295	𒉺
ugun?	418	
ugun₂	350	𒃽
u-gun₃	418	
ugun₃	412	𒌋𒅗
ugunu	418	𒌋𒁯
ugunu₂	350	𒃽
ugur	417	𒌋𒄥
ugur₂	351	𒅊
uh	398	𒄴
uh₂	392	𒌔
uh₃	562	𒆵
uh₄	017	𒅜
uh₅	397	𒀪
uhhu	017	
uhu	398	𒄴
uhu₂	392	𒌔
uhul	165	
uia	470	𒌋𒐊
uk	130	𒊌
ukken	040	𒌺
ukkin	040	𒌺
uku	347	𒂇
uku₄	130	𒊌
ukum	212	𒅖
ukur?	010	
ukur₅	351	𒅊
ukuš₂	550	𒄾
ul	441	𒌌
ul₁₂	049x	𒍇
ul₂	075	𒉡
ul₄	010	𒄉
ul₆	381	𒌓
ul₈?	105	
ula	441	𒌌
ula₂	264	𒃪
ulal	069	𒁁
uli	032	𒅴
ullu₃	441	𒌌
ulu	441	𒌌
ulu₃	049x	𒍇
ulu₄	038	𒌷
ulud	309	𒂁
uludi?	374	
uluki?	374	
um	134	𒌝
um₂	381	𒌓
umah	512	𒇦
uman	398	𒄴
umbin	092b	𒌢
umbisag	314	𒋃
umbisag₂	317	𒋄
umma₂?	409e	
ummeda₂	137	𒌟
umu	134	𒌝
umuh	512	𒇦
umum	338	𒌣
umun	411	𒌋
umun₁₀?	415	
umun₁₁	522	𒆹
umun₁₂?	505	
umun₂	338	𒌣
umun₃	398	𒄴
umun₄	397	𒀪
umun₅	512	𒇦
umun₆	509	𒇊
umuna₁₂	505	𒇩
umuš	536	𒌆
un₂	411	𒌋
un₅	381	𒌓
unken	040	𒌺
unkin	040	𒌺
unu	195	𒀕
unu₁₀	067	𒄃
unu₅	128	𒀊
unu₈	211	𒍑
unu₉	354b	𒆒
unug	195	𒀕
unugi	196	𒀐
unugi₂	194	𒀍
up	306	𒌒
uq	130	𒊌
ur	575	𒌨
ur₁₁	056	𒀳
ur₁₂	058	𒋽
ur₁₄	271	𒃣
ur₂	203	𒌫
ur₃	255	𒃡
ur₄	594	𒌴
ur₅	401	𒄯
ur₆?	441	
ur₇	185	𒉞
ur₈	206	𒁺
ur₉	204b	𒌲
ura	575	𒌨
ura₃	255	𒃡
ura₄	594	𒌴
ura₅	401	𒄯
uraš	535	𒅁
urbigu	575a	𒌩
urbingu	575a	𒌩
urda	050	𒀴
urda₂	051	𒀵
urdu	050	𒀴
urdu₂	051	𒀵
urgilim	063d	𒉫
urgu₂	022x	𒅺
urrub	309	𒂁
urrub₂	322	𒆗
ursagsim	012	𒋻
ursub	309	𒂁
urṣub	309	𒂁
ursub₂	322	𒆗
urta	535	𒅁
uru	038	𒌷
uru₁₁	043v	𒌾
uru₁₂	255	𒃡
uru₁₃	575	𒌨
uru₁₆	099	𒂗
uru₁₇	049x	𒍇
uru₂	043	𒍍
uru₄	056	𒀳
uru₅	058	𒋽
uru₆	185	𒉞
uru₇	204b	𒌲
uru₈	203	𒌫
uruaka	092c	𒃰𒋺𒄑
urub	043v	𒌾
urud	132	𒍏
urud₂	138	𒁾
uruda	132	𒍏
urudu	132	𒍏
urudu₂	138	𒁾
urugal	194	𒀍
urugal₂	195	𒀕
uruišdua	092c	𒃰𒋺𒄑
uruišduha	092c	𒃰𒋺𒄑
uruk	195	𒀕
urulla	092c	𒃰𒋺𒄑
urum	185	𒉞
urum₂	204b	𒌲
urum₄	204d	𒌯
urum₈	204a	𒌱
urum₉	204c	𒌬
ururim	043	𒍍
urušeb	047	𒍁
urušib	047	𒍁
urutamga	043v	𒌾
urutamga₂	043	𒍍
urzub	309	𒂁
uš	211	𒍑
uš₁₁	017	𒅜
uš₁₄	028n	𒅼
uš₁₅	123	𒋛𒀀
uš₁₈	472	𒌍
us₂	211	𒍑
uṣ₂	211	𒍑
uš₃	271	𒃣
us₃?	122b	
us₄	131	𒊍
uš₄	536	𒌆
uṣ₄	131	𒊍
