الاسم اللاتيني	رقم التسلسل	العلامة المسمارية
egir₆?	567	
egirsu	236	𒃐
egur₄	207	
eh	398	𒄴
eh₂	397	𒀪
ehalla	235	𒃓
ehili	263	𒃔
ek	080	𒅅
eki	308	𒂊
el	564	𒂖
el₂	205	𒅋
el₃	013	𒀭
el₄	205a	𒅌
elal	317	𒋄
elal₂	314	𒋃
elam	433	𒉏
elama	433	𒉏
elamkuš	510	𒇌
elamkuš₂	518	𒇖
elamkuš₃	527	𒇈
elamkuš₄	522	𒆹
elamu	433	𒉏
eldig	170	
ele	412	𒌋𒅗
ele₂	564	𒂖
eli	412	𒌋𒅗
ella₂	483	𒆸
ellag	483	𒆸
ellag₂	400	𒄵
ellam	400	
ellamkuš	510	𒇌
ellamkuš₂	518	𒇖
ellamkuš₃	527	𒇈
ellamkuš₄	522	𒆹
ellat	166b	𒆜𒆳
em	399	𒅎
em₃	183	𒉘
em₄	032	𒅴
eme	032	𒅴
eme₄	237	𒂼
eme₈	271	𒃣
emeda₃	137	𒌟
emedub	250	𒃆
emeš	554n	𒊩𒇬
emeš₂	174	𒉊
emesig	035n	𒆄
emezi	554n	𒊩𒇬
emma	028	𒆉
emma₂	035	𒅘
emmen	028	𒆉
emmen₂	035	𒅘
emmin	028	𒆉
emmin₂	035	𒅘
emuš	580a	𒀇
en	099	𒂗
en₂	546	𒋙𒀭
en₃	059	𒇷
en₄	015	𒅗
en₆	148	𒅔
en₇	332	𒍠
en₈	353	𒊭
ena	099	𒂗
endibdim	401	𒄯
endur	295	𒉺
enegi	399	𒅎
enegir	399	𒅎
enem	015	𒅗
engar	056	𒀳
engara	056	𒀳
engur	484	𒇉
eni	099	𒂗
enim	015	𒅗
enim₂	433	𒉏
enkar	054v	𒂙
enkara	054v	𒂙
enme	099c	𒂚
enmen	028	𒆉
enmen₂	035	𒅘
ennegi	399	𒅎
ennigi	399	𒅎
ennin	103v	𒈹
enšada	295l	𒉺𒌆
enšadu	295l	𒉺𒌆
ensi₃	099c	𒂚
enten	175	𒉉
entena	175	𒉉
enu	099	𒂗
ep	535	𒅁
ep₂	207	𒌈
epig	592	𒋝
epig₂?	309	
epir	309	𒂁
epir₂	214	𒁉
epir₄	319	𒂵
eq	080	𒅅
eqqil	105	
er	232	𒅕
er₁₀?	206	
er₁₁	051	𒀵
er₁₄	206a	
er₃	050	𒀴
er₄	038	𒌷
er₆	581	𒀅
er₉	444	𒄊
era₃?	270	
era₄?	252	
erad?	050	
erbura	063d	𒋺
ere	038	𒌷
ere₁₄	232	𒅕
erem	393	𒂟
eren	541	𒂞
eren₂	393	𒂟
eren₈	204d	𒌯
erena	541	𒂞
erena₂	393	𒂟
ereš	556	𒊩𒌆
ereš₂	165	𒉀
ereš₃	232	𒅕
ereš₄	056	𒀳
eri	038	𒌷
eri₁₁	195	𒀕
eri₁₂	128	𒀊
eri₁₄	232	𒅕
eri₁₅?	270	
eri₁₆?	252	
eri₃	050	𒀴
eribura	063d	𒉫
erida	087	𒉣
eridu	087	𒉣
eridug	087	𒉣
eriduga	087	𒉣
erigal	194	𒀍
erigal₂	195	
erigal₃	128	
erim	393	𒂟
erim₃	049	𒌿
erim₄	262	𒃫
erim₅	195	𒀕
erim₆	043	𒍍
erim₇	204d	𒌯
erin	541	𒂞
erin₂	393	𒂟
erin₃	049	𒌿
erin₄	262	𒃫
erin₅	195	𒀕
erin₆	043	𒍍
erin₉	204d	𒌯
erina	541	𒂞
erina₂	393	𒂟
eriš	556	𒊩𒌆
eriš₂	165	𒉀
eriš₄	056	𒀳
eru	050	𒀴
eru₃	120	𒊟
eru₅	168	𒂔
erua₂	168	𒂔
erum	050	𒀴
erum₃	120	𒊟
es	296	𒄑
eš	472	𒌍
eṣ	296	𒄑
eš₁₂	174	𒉊
eš₁₃	175	𒉉
eš₁₄	564	𒂖
eš₁₅	212	𒅖
eš₁₆	325a	𒀼 / 𒐺
eš₁₈	360	𒀸 / 𒀹
eš₁₉	296	𒄑
es₂	472	𒌍
eš₂₀	001	𒀸
eš₂₁	124a	𒋰𒀸 / 𒐻
eš₂₂	436	𒇵
es₃	128	𒀊
eš₃	128	𒀊
eṣ₃	128	𒀊
eš₄	480	𒁹
es₅	212	𒅖
eš₆	002a	𒀸𒀸𒀸
eš₇	069	𒁁
eš₈	166	𒆜
eša₂	472	𒌍
esa₃	128	𒀊
eša₃	128	𒀊
esag	585	𒀈
esag₂	261	𒃥
esagtur	261a	𒃦
eše	472	𒌍
ešemen₄	200d	𒀑
ešemin₄	200d	𒀑
ešgal	194	𒀍
ešgiri₂	054v	𒂙
esi	322	𒆗
esibir	239	𒃊
esig	322	𒆗
esikilla	272	𒃈
esir₂	487	𒇒
esir₄	067	𒄃
esir₅	326a	𒄆
esirha	488	𒇓
esirhia	488	𒇓
eškiri₂	054v	𒂙
ešqa	110	𒆯
eštub	297	𒄞
et	334	𒀉
eṭ	334	𒀉
etam	262	𒃫
etutum	242	
ew	383	𒉿
ez	296	𒄑
ez₃	128	𒀊
eze	537	𒇻
ezina₃	375	𒌁
ezinam₃	375	
ezinu₃	375	𒌁
f	554	𒊩
ga	319	𒂵
gaʾazag?	269	
ga₁₁?	401	
ga₁₂?	427	
ga₁₄	015	𒅗
ga₂	233	𒂷
ga₃?	105	
ga₄	597	𒃻
ga₅	062	𒋡
ga₆	320	𒅍
ga₇	080	𒅅
ga₈?	326	
gab₂	088	𒆏
gab₃	035	𒅘
gaba₂	088	𒆏
gabu₂	088	𒆏
gaburra	259	𒃂
gad	090	𒃰
gada	090	𒃰
gadi	268	𒃄
gadibdim	401	𒄯
gadma	297	𒄞
gadu	090	𒃰
gadub	250	𒃆
gag	230	𒆕
gaga	260	𒃖
gagar	461	𒆠
gaggim	003	𒈮
gagi	256	𒃎
gagi₂	243	𒃍
gagia	256	𒃎
gagia₂	243	𒃍
gagig	265	𒃟
gagim	003	𒈮
gagirsu	236	𒃐
gagri?	326	
gahalla	235	𒃓
gahili	263	𒃔
gaiku	234	𒂽
gak	230	𒆕
gakim	003	𒈮
gakkul₃	415a	𒌋𒁴
gal	343	𒃲
gal₂	080	𒅅
gal₃?	049x	
gal₄	554	𒊩
gal₅	376	𒋼
